Ticker,Ex-Div Date,Dividend,Price on Ex-Date,Frequency,Source,Scraped At,Annualized Yield %
QQQY,2025-07-17,0.194,26.0,weekly,yfinance,2025-08-11 19:58:37Z,38.800000000000004
QQQY,2025-07-24,0.195,26.059999,weekly,yfinance,2025-08-11 19:58:38Z,38.91020870722213
QQQY,2025-07-31,0.187,26.08,weekly,yfinance,2025-08-11 19:58:38Z,37.285276073619634
QQQY,2025-08-07,0.192,25.75,weekly,yfinance,2025-08-11 19:58:38Z,38.772815533980584
QQQY,2025-08-14,0.177,25.855,weekly,yfinance,2025-08-18 06:36:42Z,35.59853026493908
QQQY,2025-08-21,0.193,25.1,monthly,yfinance,2025-08-25 09:05:10Z,9.227091633466134
SMCY,2024-10-24,5.354,50.763,monthly,yfinance,2025-08-11 19:58:39Z,126.56462384019858
SMCY,2024-11-21,2.203,27.01,monthly,yfinance,2025-08-11 19:58:39Z,97.87486116253238
SMCY,2024-12-19,2.355,26.139999,monthly,yfinance,2025-08-11 19:58:40Z,108.11018011133054
SMCY,2025-01-16,1.722,23.379999,monthly,yfinance,2025-08-11 19:58:41Z,88.38323731322657
SMCY,2025-02-13,2.09,26.940001,monthly,yfinance,2025-08-11 19:58:41Z,93.09576491849425
SMCY,2025-03-13,1.974,23.15,monthly,yfinance,2025-08-11 19:58:41Z,102.32397408207343
SMCY,2025-04-10,1.501,18.52,monthly,yfinance,2025-08-11 19:58:43Z,97.25701943844493
SMCY,2025-05-08,1.413,16.82,monthly,yfinance,2025-08-11 19:58:44Z,100.80856123662308
SMCY,2025-06-05,1.58,18.200001,monthly,yfinance,2025-08-11 19:58:44Z,104.17581845187811
SMCY,2025-07-03,1.61,19.559999,monthly,yfinance,2025-08-11 19:58:46Z,98.77301118471426
SMCY,2025-07-31,1.852,21.16,monthly,yfinance,2025-08-11 19:58:47Z,105.02835538752362
SNOY,2024-07-05,0.933,20.763,monthly,yfinance,2025-08-11 19:58:48Z,53.92284351972258
SNOY,2024-08-07,0.783,16.816,monthly,yfinance,2025-08-11 19:58:48Z,55.87535680304473
SNOY,2024-09-06,0.863,15.871,monthly,yfinance,2025-08-11 19:58:49Z,65.25108688803478
SNOY,2024-10-03,0.513,16.07,monthly,yfinance,2025-08-11 19:58:49Z,38.307405102675794
SNOY,2024-10-31,0.559,15.958,monthly,yfinance,2025-08-11 19:58:50Z,42.03534277478381
SNOY,2024-11-29,1.708,20.5,monthly,yfinance,2025-08-11 19:58:51Z,99.98048780487804
SNOY,2024-12-27,0.568,18.129999,monthly,yfinance,2025-08-11 19:58:51Z,37.59514824021776
SNOY,2025-01-23,0.739,18.700001,monthly,yfinance,2025-08-11 19:58:51Z,47.42245735708784
SNOY,2025-02-20,0.921,18.950001,monthly,yfinance,2025-08-11 19:58:52Z,58.321896658475104
SNOY,2025-03-20,0.812,16.059999,monthly,yfinance,2025-08-11 19:58:52Z,60.67248198458791
SNOY,2025-04-17,0.686,14.07,monthly,yfinance,2025-08-11 19:58:53Z,58.507462686567166
SNOY,2025-05-15,1.307,15.52,monthly,yfinance,2025-08-11 19:58:53Z,101.05670103092783
SNOY,2025-06-12,1.276,16.299999,monthly,yfinance,2025-08-11 19:58:54Z,93.93865606985621
SNOY,2025-07-10,0.471,16.15,monthly,yfinance,2025-08-11 19:58:54Z,34.9969040247678
SNOY,2025-08-07,0.455,15.32,monthly,yfinance,2025-08-11 19:58:55Z,35.639686684073105
SOXY,2025-01-08,0.526,50.966999,monthly,yfinance,2025-08-11 19:58:56Z,12.384484320923034
SOXY,2025-02-05,0.488,50.085999,monthly,yfinance,2025-08-11 19:58:56Z,11.691890182723519
SOXY,2025-03-05,0.488,45.966999,monthly,yfinance,2025-08-11 19:58:57Z,12.73957431939379
SOXY,2025-04-02,0.427,42.851002,monthly,yfinance,2025-08-11 19:58:57Z,11.957713380891303
SOXY,2025-05-07,0.438,43.852001,monthly,yfinance,2025-08-11 19:58:58Z,11.985770045020294
SOXY,2025-06-04,0.472,48.115002,monthly,yfinance,2025-08-11 19:58:58Z,11.771796247665126
SOXY,2025-07-02,0.525,52.153999,monthly,yfinance,2025-08-11 19:58:59Z,12.079610616244404
SOXY,2025-08-06,0.525,51.398998,monthly,yfinance,2025-08-11 19:58:59Z,12.257048279423659
SPYT,2024-04-01,0.34,20.028999,monthly,yfinance,2025-08-11 19:59:01Z,20.37046384594657
SPYT,2024-05-01,0.324,19.040001,monthly,yfinance,2025-08-11 19:59:02Z,20.420166994739127
SPYT,2024-06-03,0.33,19.6,monthly,yfinance,2025-08-11 19:59:02Z,20.204081632653057
SPYT,2024-07-01,0.337,19.9,monthly,yfinance,2025-08-11 19:59:03Z,20.32160804020101
SPYT,2024-07-31,0.33,19.639999,monthly,yfinance,2025-08-11 19:59:03Z,20.16293381684999
SPYT,2024-09-03,0.333,19.370001,monthly,yfinance,2025-08-11 19:59:04Z,20.629838893658295
SPYT,2024-10-01,0.334,19.59,monthly,yfinance,2025-08-11 19:59:04Z,20.459418070444105
SPYT,2024-11-01,0.332,19.34,monthly,yfinance,2025-08-11 19:59:05Z,20.59979317476732
SPYT,2024-12-02,0.336,19.940001,monthly,yfinance,2025-08-11 19:59:06Z,20.2206609718826
SPYT,2024-12-31,0.328,19.139999,monthly,yfinance,2025-08-11 19:59:07Z,20.56426439729699
SPYT,2025-02-03,0.327,19.08,monthly,yfinance,2025-08-11 19:59:07Z,20.56603773584906
SPYT,2025-03-03,0.316,18.309999,monthly,yfinance,2025-08-11 19:59:08Z,20.709995669579225
SPYT,2025-04-01,0.298,17.309999,monthly,yfinance,2025-08-11 19:59:09Z,20.658580049600232
SPYT,2025-05-01,0.284,16.799999,monthly,yfinance,2025-08-11 19:59:10Z,20.285715493197348
SPYT,2025-06-02,0.3,17.49,monthly,yfinance,2025-08-11 19:59:10Z,20.58319039451115
SPYT,2025-07-01,0.308,17.860001,monthly,yfinance,2025-08-11 19:59:11Z,20.69428775507907
SPYT,2025-08-01,0.32,17.66,monthly,yfinance,2025-08-11 19:59:11Z,21.7440543601359
SQY,2023-11-08,0.4372,22.273701,monthly,dividendhistory.org,2025-08-11 19:59:19Z,23.55423555339995
SQY,2023-12-07,2.1463,23.959999,monthly,dividendhistory.org,2025-08-11 19:59:19Z,107.49416141461442
SQY,2024-01-05,1.6174,21.219999,monthly,dividendhistory.org,2025-08-11 19:59:19Z,91.46466029522432
SQY,2024-02-07,0.3823,20.93,monthly,dividendhistory.org,2025-08-11 19:59:18Z,21.918776875298615
SQY,2024-03-06,0.654,22.200001,monthly,dividendhistory.org,2025-08-11 19:59:18Z,35.35134975894822
SQY,2024-04-04,0.6387,22.290001,monthly,dividendhistory.org,2025-08-11 19:59:17Z,34.38492443315727
SQY,2024-05-06,1.1197,21.209999,monthly,dividendhistory.org,2025-08-11 19:59:17Z,63.34936649454816
SQY,2024-06-06,0.9641,19.120001,monthly,dividendhistory.org,2025-08-11 19:59:16Z,60.50836503617337
SQY,2024-07-05,0.6979,19.23,monthly,dividendhistory.org,2025-08-11 19:59:16Z,43.550702028081126
SQY,2024-08-07,0.637,16.7792,monthly,dividendhistory.org,2025-08-11 19:59:15Z,45.55640316582436
SQY,2024-09-06,1.276,16.67,monthly,dividendhistory.org,2025-08-11 19:59:15Z,91.85362927414516
SQY,2024-10-24,1.0201,17.690001,monthly,dividendhistory.org,2025-08-11 19:59:14Z,69.19841327312531
SQY,2024-11-21,1.6699,20.09,monthly,dividendhistory.org,2025-08-11 19:59:14Z,99.74514683922348
SQY,2024-12-19,0.6543,18.440001,monthly,dividendhistory.org,2025-08-11 19:59:13Z,42.579173395923355
SQY,2025-01-16,0.6338,17.709999,monthly,dividendhistory.org,2025-08-11 19:59:13Z,42.94523110927336
SQY,2025-02-13,0.584,16.450001,monthly,dividendhistory.org,2025-08-11 19:59:12Z,42.60182111843032
SQY,2025-03-13,0.5014,10.64,monthly,dividendhistory.org,2025-08-11 19:59:12Z,56.54887218045113
